feature,importance_mean,importance_std
month_x_estimated_deliveries,2.027665586836579,0.0779100108613662
month,0.0,0.0
model,0.0,0.0
production_units,0.0,0.0
avg_price_usd,0.0,0.0
battery_capacity_kwh,0.0,0.0
range_km,0.0,0.0
co2_saved_tons,0.0,0.0
source_type,0.0,0.0
region,0.0,0.0
charging_stations,0.0,0.0
day,0.0,0.0
quarter,0.0,0.0
dayofweek,0.0,0.0
is_month_end,0.0,0.0
estimated_deliveries_lag_1,0.0,0.0
estimated_deliveries_lag_2,0.0,0.0
is_month_start,0.0,0.0
estimated_deliveries_lag_3,0.0,0.0
estimated_deliveries_lag_4,0.0,0.0
estimated_deliveries_roll_std_3,0.0,0.0
estimated_deliveries_roll_mean_3,0.0,0.0
estimated_deliveries_roll_mean_6,0.0,0.0
estimated_deliveries_roll_std_6,0.0,0.0
month_x_production_units,0.0,0.0
estimated_deliveries_x_production_units,0.0,0.0
